time , step-size , {pt}.pt.leaveStationA , {pt}.pt.leaveStationB , {pt}.pt.leaveStationC , {pt}.pt.p_ID , {pt}.pt.speedA , {pt}.pt.speedB , {pt}.pt.speedC , {pt}.pt.w_in1 , {pt}.pt.w_in2 , {pt}.pt.w_in3 , {ts}.testStation.t_out , {ts}.testStation.t_status , {ts}.testStation.testResult , {w1}.wagon1.pos , {w1}.wagon2.pos , {w1}.wagon3.pos , {w}.warehouse.r_ID , {w}.warehouse.r_in1 , {w}.warehouse.r_in2 , {w}.warehouse.w_out
0.0 , 0.0 , false , false , false , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , true , 0 , 0 , 0 , 0 , 0 , 0 , 0
5.0 , 5.0 , false , false , false , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , true , 21 , 16 , 11 , 0 , 0 , 0 , 0
10.0 , 5.0 , false , false , false , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , true , 21 , 16 , 11 , 0 , 0 , 0 , 1
15.0 , 5.0 , false , false , false , 2 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , true , 22 , 17 , 12 , 0 , 0 , 0 , 1
20.0 , 5.0 , false , false , false , 2 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , true , 22 , 17 , 12 , 0 , 0 , 0 , 2
25.0 , 5.0 , false , false , false , 3 , 1 , 1 , 1 , 1 , 2 , 4 , 0 , 0 , true , 23 , 18 , 13 , 0 , 0 , 0 , 2
30.0 , 5.0 , false , false , false , 3 , 1 , 1 , 1 , 1 , 2 , 4 , 0 , 0 , true , 23 , 18 , 13 , 0 , 0 , 0 , 3
35.0 , 5.0 , false , false , false , 3 , 1 , 1 , 1 , 1 , 2 , 4 , 0 , 0 , true , 24 , 19 , 14 , 0 , 0 , 0 , 3
40.0 , 5.0 , false , false , false , 3 , 1 , 1 , 1 , 1 , 2 , 4 , 0 , 0 , true , 24 , 19 , 14 , 0 , 0 , 0 , 3
45.0 , 5.0 , false , false , false , 3 , 1 , 1 , 1 , 1 , 2 , 4 , 0 , 0 , true , 25 , 20 , 15 , 0 , 0 , 0 , 3
50.0 , 5.0 , false , false , false , 3 , 1 , 1 , 1 , 1 , 2 , 4 , 0 , 0 , true , 25 , 20 , 15 , 0 , 0 , 0 , 3
55.0 , 5.0 , false , false , false , 3 , 1 , 1 , 1 , 1 , 2 , 4 , 0 , 0 , true , 26 , 21 , 16 , 0 , 0 , 0 , 3
60.0 , 5.0 , true , false , false , 3 , 12 , 1 , 1 , 1 , 2 , 4 , 0 , 0 , true , 26 , 21 , 16 , 0 , 0 , 0 , 3
65.0 , 5.0 , true , false , false , 3 , 12 , 1 , 1 , 1 , 2 , 4 , 0 , 0 , true , 38 , 22 , 17 , 0 , 0 , 0 , 3
70.0 , 5.0 , false , false , false , 3 , 12 , 1 , 1 , 1 , 2 , 4 , 0 , 0 , true , 38 , 22 , 17 , 0 , 0 , 0 , 3
75.0 , 5.0 , false , false , false , 3 , 12 , 1 , 1 , 1 , 2 , 4 , 0 , 0 , true , 53 , 23 , 18 , 0 , 0 , 0 , 3
80.0 , 5.0 , false , false , false , 3 , 12 , 1 , 1 , 1 , 2 , 4 , 0 , 0 , true , 53 , 23 , 18 , 0 , 0 , 0 , 3
85.0 , 5.0 , false , false , false , 3 , 12 , 1 , 1 , 1 , 2 , 4 , 0 , 0 , true , 70 , 24 , 19 , 0 , 0 , 0 , 3
90.0 , 5.0 , true , false , false , 3 , 1 , 1 , 1 , 1 , 2 , 4 , 0 , 0 , true , 70 , 24 , 19 , 0 , 0 , 0 , 3
95.0 , 5.0 , true , false , false , 3 , 1 , 1 , 1 , 1 , 2 , 4 , 0 , 0 , true , 71 , 25 , 20 , 0 , 0 , 0 , 3
100.0 , 5.0 , false , false , false , 3 , 1 , 1 , 1 , 1 , 2 , 4 , 0 , 0 , true , 71 , 25 , 20 , 0 , 0 , 0 , 3
105.0 , 5.0 , false , false , false , 4 , 1 , 1 , 1 , 3 , 5 , 7 , 0 , 0 , true , 72 , 26 , 21 , 0 , 0 , 0 , 3
110.0 , 5.0 , false , true , false , 4 , 1 , 10 , 1 , 3 , 5 , 7 , 0 , 0 , true , 72 , 26 , 21 , 0 , 0 , 0 , 4
115.0 , 5.0 , false , true , false , 4 , 1 , 10 , 1 , 3 , 5 , 7 , 0 , 0 , true , 73 , 36 , 22 , 0 , 0 , 0 , 4
120.0 , 5.0 , false , false , false , 4 , 1 , 10 , 1 , 3 , 5 , 7 , 0 , 0 , true , 73 , 36 , 22 , 0 , 0 , 0 , 4
125.0 , 5.0 , false , false , false , 4 , 1 , 10 , 1 , 3 , 5 , 7 , 0 , 0 , true , 74 , 49 , 23 , 0 , 0 , 0 , 4
130.0 , 5.0 , false , false , false , 4 , 1 , 10 , 1 , 3 , 5 , 7 , 0 , 0 , true , 74 , 49 , 23 , 0 , 0 , 0 , 4
135.0 , 5.0 , false , false , false , 4 , 1 , 10 , 1 , 3 , 5 , 7 , 0 , 0 , true , 75 , 65 , 24 , 0 , 0 , 0 , 4
140.0 , 5.0 , false , false , false , 4 , 1 , 10 , 1 , 3 , 5 , 7 , 0 , 0 , true , 75 , 65 , 24 , 0 , 0 , 0 , 4
145.0 , 5.0 , false , false , false , 4 , 1 , 10 , 1 , 3 , 5 , 7 , 0 , 0 , true , 76 , 70 , 25 , 0 , 0 , 0 , 4
150.0 , 5.0 , false , true , false , 4 , 1 , 1 , 1 , 3 , 5 , 7 , 0 , 0 , true , 76 , 70 , 25 , 0 , 0 , 0 , 4
155.0 , 5.0 , false , true , false , 4 , 1 , 1 , 1 , 3 , 5 , 7 , 0 , 0 , true , 77 , 71 , 26 , 0 , 0 , 0 , 4
160.0 , 5.0 , false , false , true , 4 , 1 , 1 , 23 , 3 , 5 , 7 , 0 , 0 , true , 77 , 71 , 26 , 0 , 0 , 0 , 4
165.0 , 5.0 , false , false , true , 4 , 1 , 1 , 23 , 3 , 5 , 7 , 0 , 0 , true , 78 , 72 , 49 , 0 , 0 , 0 , 4
170.0 , 5.0 , false , false , false , 4 , 1 , 1 , 23 , 3 , 5 , 7 , 0 , 0 , true , 78 , 72 , 49 , 0 , 0 , 0 , 4
175.0 , 5.0 , false , false , false , 4 , 1 , 1 , 23 , 3 , 5 , 7 , 0 , 0 , true , 79 , 73 , 70 , 0 , 0 , 0 , 4
180.0 , 5.0 , false , false , true , 4 , 1 , 1 , 1 , 3 , 5 , 7 , 0 , 0 , true , 79 , 73 , 70 , 0 , 0 , 0 , 4
185.0 , 5.0 , false , false , true , 4 , 1 , 1 , 1 , 3 , 5 , 7 , 0 , 0 , true , 80 , 74 , 71 , 0 , 0 , 0 , 4
190.0 , 5.0 , false , false , false , 4 , 1 , 1 , 1 , 3 , 5 , 7 , 0 , 0 , true , 80 , 74 , 71 , 0 , 0 , 0 , 4
195.0 , 5.0 , false , false , false , 4 , 1 , 1 , 1 , 3 , 5 , 7 , 0 , 0 , true , 81 , 75 , 72 , 0 , 0 , 0 , 4
200.0 , 5.0 , false , false , false , 4 , 1 , 1 , 1 , 3 , 5 , 7 , 0 , 0 , true , 81 , 75 , 72 , 0 , 0 , 0 , 4
205.0 , 5.0 , false , false , false , 4 , 1 , 1 , 1 , 3 , 5 , 7 , 0 , 0 , true , 82 , 76 , 73 , 0 , 0 , 0 , 4
